AMBARI_DEV, ambari, dev, ambari-dev, AMBARI
AMBARI_USER, ambari, user, ambari-user, AMBARI
ARROW_DEV, arrow, dev, arrow-dev, ARROW
BIGTOP_DEV, bigtop, dev, bigtop-dev, BIGTOP
BIGTOP_USER, bigtop, user, bigtop-user, BIGTOP
CASSANDRA_DEV, cassandra, dev, cassandra-dev, CASSANDRA
CASSANDRA_USER, cassandra, user, cassandra-user, CASSANDRA
CURATOR_DEV, curator, dev, curator-dev, CURATOR
CURATOR_USER, curator, user, curator-user, CURATOR
C_DEV, lucene_c, dev, lucene-c-dev, LUCENE
DRILL_DEV, drill, dev, drill-dev, DRILL
DRILL_USER, drill, user, drill-user, DRILL
LUCY_DEV, lucy, dev, lucy-dev, LUCENE
LUCY_USER, lucy, user, lucy-user, LUCENE
FLINK_DEV, flink, user, flink-dev, FLINK
FLINK_USER, flink, user, flink-user, FLINK
GENERAL, lucene, user, lucene-general, LUCENE
JAVA_DEV, lucene, dev, lucene-dev, LUCENE
JAVA_USER, lucene, user, lucene-java-user, LUCENE
MAHOUT_DEV, mahout, dev, mahout-dev, LUCENE
MAHOUT_USER, mahout, user, mahout-user, LUCENE
NUTCH_AGENT, nutch, user, nutch-agent, LUCENE
NUTCH_DEV, nutch, dev, nutch-dev, LUCENE
NUTCH_GENERAL, nutch, user, lucene-nutch-general, LUCENE
NUTCH_USER, nutch, user, nutch-user, LUCENE
RUBY_DEV, solr, dev, lucene-ruby-dev, LUCENE
ACCUMULO_USER, accumulo, user, accumulo-user, ACCUMULO
ACCUMULO_DEV, accumulo, dev, accumulo-dev, ACCUMULO
GROOVY_DEV, groovy, dev, groovy-dev, GROOVY
GROOVY_USER, groovy, user, groovy-users, GROOVY
HADOOP_COMMON_USER, hadoop, user, hadoop-common-user, HADOOP
HADOOP_COMMON_DEV, hadoop, dev, hadoop-common-dev, HADOOP
HBASE_USER, hbase, user, hbase-user, HBASE
HBASE_DEV, hbase, dev, hbase-dev, HBASE
HIVE_USER, hive, user, hive-user, HIVE
HIVE_DEV, hive, dev, hive-dev, HIVE
HTTPD_ANN, httpd, announce, httpd-announce, HTTPD
HTTPD_DEV, httpd, dev, httpd-dev, HTTPD
HTTPD_USERS, httpd, user, httpd-users, HTTPD
IGNITE_DEV, ignite, dev, ignite-dev, IGNITE
IGNITE_USER, ignite, user, ignite-user, IGNITE
KYLIN, kylin, kylin-dev, kylin-dev, KYLIN
KYLIN, kylin, kylin-user, kylin-user, KYLIN
KAFKA_USER, kafka, user, kafka-users, KAFKA
KAFKA_DEV, kafka, dev, kafka-dev, KAFKA
OOZIE_USER, oozie, user, oozie-user, OOZIE
OPENNLP_USER, opennlp, user, opennlp-users, OPENNLP
OPENNLP_DEV, opennlp, dev, opennlp-dev, OPENNLP
OOZIE_DEV, oozie, dev, oozie-dev, OOZIE
PDFBOX_DEV, pdfbox, dev, pdfbox-dev, PDFBOX
PDFBOX_USER, pdfbox, user, pdfbox-users, PDFBOX
PIG_USER, pig, user, pig-user, PIG
PIG_DEV, pig, dev, pig-dev, PIG
ZOOKEEPER_USER, zookeeper, user, zookeeper-user, ZOOKEEPER
ZOOKEEPER_DEV, zookeeper, dev, zookeeper-dev, ZOOKEEPER
SOLR_DEV, solr, dev, lucene-solr-dev, LUCENE
SOLR_USER, solr, user, lucene-solr-user, LUCENE
SPARK_DEV, spark, dev, spark-dev, SPARK
SPARK_USER, spark, user, spark-user, SPARK
TIKA_DEV, tika, dev, tika-dev, LUCENE
TIKA_USER, tika, user, tika-user, LUCENE
UIMA_USER, uima, user, uima-user, UIMA
UIMA_DEV, uima, dev, uima-dev, UIMA
LUCENE_NET_DEV, lucene_net, dev, lucene-lucene-net-dev, INCUBATOR
LUCENE_NET_USER, lucene_net, user, lucene-lucene-net-user, INCUBATOR
DROIDS_DEV, droids, dev, incubator-droids-dev, INCUBATOR
PYLUCENE_DEV, pylucene, dev, lucene-pylucene-dev, LUCENE
ORP_DEV, openrelevance, dev, lucene-openrelevance-dev, LUCENE
ORP_USER, openrelevance, user, lucene-openrelevance-user, LUCENE
MANIFOLDCF_DEV, manifoldcf, dev, manifoldcf-dev, INCUBATOR
MANIFOLDCF_USER, manifoldcf, user, manifoldcf-user, INCUBATOR
MESOS_DEV, mesos, dev, incubator-mesos-dev, INCUBATOR
MESOS_USER, mesos, user, incubator-mesos-user, INCUBATOR
MRUNIT_DEV, mrunit, dev, incubator-mrunit-dev, INCUBATOR
MRUNIT_USER, mrunit, user, incubator-mrunit-user, INCUBATOR
TEZ_DEV, tez, dev, tez-dev, TEZ
TEZ_USER, tez, user, tez-user, TEZ
TINKERPOP_DEV, tinkerpop, dev, tinkerpop-dev, TINKERPOP
TRAFFIC_SERVER_DEV, traffic-server, dev, trafficserver-dev, TRAFFIC_SERVER
TRAFFIC_SERVER_USERS, traffic-server, dev, trafficserver-users, TRAFFIC_SERVER
TOMCAT_DEV, tomcat, dev, tomcat-dev, TOMCAT
TOMCAT_USER, tomcat, user, tomcat-users, TOMCAT
THRIFT_DEV, thrift, dev, thrift-dev, THIRFT
THRIFT_USER, thrift, user, thrift-user, THIRFT
YARN_DEV, yarn, dev, hadoop-yarn-dev, HADOOP
YARN_USER, yarn, user, hadoop-yarn-user, HADOOP
